projectId,noOfTasks,tasksCompleted,tasksCancelled,daysDuration,avgAward,avgSubmissions
3338,1,1,0,6,1250.0000,5.0000
4507,89,74,15,350,987.6629,1.4719
4584,3,1,2,40,2000.0000,0.3333
4613,1,1,0,5,900.0000,1.0000
5104,152,131,21,335,958.2697,1.9605
5110,2,2,0,24,1150.0000,2.0000
5233,1,1,0,4,2100.0000,2.0000
5303,1,1,0,9,2100.0000,1.0000
5556,16,13,3,171,1930.4375,2.6250
5788,7,5,2,349,814.2857,5.7143
5976,1,1,0,5,2100.0000,1.0000
6003,2,1,1,42,850.0000,1.0000
6036,3,1,2,33,566.6667,0.6667
6070,1,1,0,5,1500.0000,3.0000
6123,34,31,3,164,397.9412,3.2941
6148,21,20,1,294,891.6667,2.2381
6218,1,1,0,30,200.0000,3.0000
6243,33,18,15,343,1968.9394,1.1212
6275,277,226,51,372,317.2347,1.7834
6421,2,0,2,61,3.0000,0.0000
6494,6,4,2,274,825.0000,0.8333
6517,2,2,0,20,2062.5000,2.0000
6581,2,2,0,16,1500.0000,2.0000
6583,10,8,2,309,1500.0000,3.6000
6599,50,45,5,239,1496.0000,1.9600
6614,7,7,0,84,1871.4286,3.2857
6654,1,1,0,2,450.0000,4.0000
6680,800,715,85,302,262.5425,1.7600
6687,1,1,0,5,2700.0000,3.0000
6696,1,1,0,5,1500.0000,1.0000
6704,9,9,0,207,450.0000,2.3333
6713,1,1,0,7,2100.0000,1.0000
6726,2,1,1,12,2250.0000,0.5000
6732,1,1,0,30,600.0000,1.0000
6746,18,10,8,301,1647.2222,0.6667
6747,8,8,0,305,668.7500,4.3750
6750,1,1,0,5,1800.0000,2.0000
6752,1,1,0,5,1800.0000,3.0000
6753,177,128,49,307,651.3842,1.9661
6756,1,1,0,10,4400.0000,9.0000
6757,156,143,13,376,598.5577,1.8526
6780,3,3,0,30,1466.6667,2.0000
6790,20,15,5,220,2137.5000,1.5500
6791,4,3,1,125,1550.0000,1.7500
6795,41,22,19,361,1859.1463,1.3659
6802,6,6,0,20,1025.0000,2.5000
6870,1,1,0,30,800.0000,4.0000
6879,17,14,3,153,947.0588,3.1765
6883,1,1,0,3,2100.0000,3.0000
6888,10,9,1,205,1535.0000,1.9000
6890,4,4,0,68,1100.0000,3.2500
6900,4,2,2,67,750.0000,1.0000
6903,9,6,3,299,845.5556,2.3333
6948,2,2,0,78,500.0000,2.0000
7137,16,11,5,265,1971.8750,1.6875
7143,23,19,4,305,1304.3478,2.5217
7158,25,20,5,234,1708.0000,1.4800
7161,14,14,0,359,582.1429,3.0000
7162,10,10,0,293,675.0000,2.8000
7163,77,67,10,333,522.0779,1.5714
7165,1,1,0,11,2700.0000,2.0000
7166,7,6,1,296,2175.0000,5.0000
7169,32,28,4,321,1085.1563,2.1250
7170,2,2,0,192,575.0000,2.5000
7201,73,60,13,387,598.6164,1.3288
7209,5,5,0,130,1350.0000,4.8000
7215,9,9,0,227,505.5556,2.5556
7242,12,9,3,313,1937.5000,2.0000
7243,1,1,0,5,1125.0000,1.0000
7246,6,6,0,145,1016.6667,1.8333
7248,37,30,7,358,1158.1081,3.2973
7249,1,1,0,6,1425.0000,4.0000
7251,14,10,4,165,1898.2143,2.2857
7252,25,17,8,393,1346.0000,1.8000
7253,24,18,6,205,1167.7083,1.5833
7258,8,8,0,32,981.2500,3.0000
7263,20,16,4,207,1197.5000,1.7000
7292,1,1,0,3,225.0000,2.0000
7297,2,2,0,8,1350.0000,3.5000
7299,1,1,0,30,200.0000,3.0000
7301,1,0,1,8,975.0000,0.0000
7305,1,1,0,2,1200.0000,4.0000
7307,2,2,0,53,1050.0000,3.0000
7308,1,1,0,3,150.0000,3.0000
7312,1,1,0,3,225.0000,2.0000
7313,4,4,0,225,2000.0000,3.0000
7315,82,69,13,251,548.0000,2.9512
7319,19,16,3,222,1128.9474,1.3684
7320,29,27,2,361,685.8621,2.8276
7325,7,4,3,74,2057.1429,1.0000
7329,1,1,0,3,150.0000,2.0000
7356,18,17,1,146,1523.6111,1.7778
7358,3,3,0,32,366.6667,3.0000
7359,2,0,2,13,2100.0000,0.0000
7360,2,1,1,23,2625.0000,2.0000
7364,1,0,1,5,750.0000,0.0000
7369,25,21,4,162,736.0000,1.8800
7371,1,1,0,5,750.0000,1.0000
7372,2,2,0,6,2025.0000,2.0000
7375,1,1,0,3,1050.0000,13.0000
7377,306,272,34,368,750.7451,1.9379
7379,6,6,0,35,2300.0000,1.8333
7380,6,5,1,29,366.6667,3.8333
7383,2,2,0,9,1650.0000,2.5000
7384,2,1,1,15,1950.0000,1.0000
7387,16,14,2,81,705.3125,1.6250
7388,19,15,4,152,935.5263,2.0000
7400,5,4,1,112,1905.0000,3.4000
7408,1,1,0,3,225.0000,2.0000
7409,1,1,0,5,105.0000,5.0000
7418,2,1,1,11,1300.0000,1.0000
7424,11,8,3,161,745.4545,2.1818
7427,3,2,1,97,2500.0000,1.3333
7429,9,6,3,66,1822.2222,4.0000
7431,1,0,1,5,700.0000,0.0000
7433,10,9,1,153,1095.0000,1.7000
7438,1,1,0,5,600.0000,4.0000
7441,3,2,1,7,2583.3333,1.3333
7444,1,1,0,5,2100.0000,1.0000
7446,1,1,0,8,1800.0000,1.0000
7448,19,8,11,110,953.9474,1.0000
7450,3,2,1,31,1475.0000,4.0000
7451,4,3,1,61,1625.0000,3.2500
7457,4,4,0,157,175.0000,3.5000
7461,6,3,3,68,1333.3333,1.8333
7463,3,3,0,61,1175.0000,1.6667
7469,1,1,0,6,1200.0000,1.0000
7470,6,6,0,127,1150.0000,2.8333
7471,25,23,2,63,1062.0000,1.6800
7473,4,3,1,81,431.2500,2.2500
7478,7,6,1,48,1110.7143,1.5714
7482,1,1,0,4,1500.0000,2.0000
7484,1,1,0,12,3000.0000,11.0000
7486,2,1,1,128,1575.0000,1.5000
7491,66,56,10,275,636.5152,2.1667
7492,4,4,0,80,818.7500,1.7500
7493,1,1,0,3,1500.0000,1.0000
7494,1,0,1,1,2400.0000,1.0000
7497,107,103,4,207,346.2617,2.1963
7499,2,2,0,73,750.0000,2.0000
7500,12,10,2,109,558.3333,2.5833
7501,1,1,0,18,800.0000,5.0000
7504,1,1,0,3,550.0000,1.0000
7507,1,1,0,3,225.0000,3.0000
7509,2,2,0,11,600.0000,6.0000
7510,7,4,3,69,2171.4286,0.8571
7517,1,0,1,4,2250.0000,1.0000
7519,18,12,6,175,1768.0556,1.5000
7522,8,8,0,239,950.0000,3.3750
7524,3,2,1,100,800.0000,0.6667
7526,2,1,1,18,225.0000,2.5000
7529,2,2,0,14,875.0000,5.0000
7534,4,3,1,38,1650.0000,1.5000
7535,1,1,0,2,100.0000,1.0000
7546,1,1,0,30,200.0000,7.0000
7547,2,2,0,19,2175.0000,1.0000
7548,1,1,0,7,1000.0000,4.0000
7549,59,37,22,210,1556.7797,1.6780
7552,10,8,2,156,2480.0000,1.5000
7553,10,7,3,204,3010.0000,2.5000
7555,1,1,0,6,2400.0000,4.0000
7556,2,2,0,32,900.0000,3.0000
7561,1,1,0,3,300.0000,3.0000
7567,9,6,3,95,2127.7778,1.2222
7569,8,6,2,104,1800.0000,3.3750
7570,2,1,1,34,1012.5000,2.5000
7572,16,14,2,225,168.6875,4.0000
7586,6,6,0,128,700.0000,5.1667
7587,97,84,13,295,1682.9897,7.9381
7589,3,3,0,115,833.3333,2.0000
7591,2,1,1,8,2250.0000,1.5000
7596,3,2,1,58,1416.6667,3.3333
7600,1,0,1,30,500.0000,3.0000
7604,2,2,0,52,1150.0000,1.5000
7612,19,15,4,139,1455.2632,2.3158
7623,1,1,0,10,1850.0000,4.0000
7625,2,2,0,46,1290.0000,3.5000
7636,2,1,1,33,850.0000,12.0000
7640,4,3,1,116,2875.0000,3.5000
7642,4,4,0,30,1837.5000,1.2500
7643,3,2,1,31,1500.0000,2.6667
7645,2,2,0,22,2700.0000,2.0000
7647,2,0,2,19,675.0000,0.0000
7649,1,1,0,6,1000.0000,2.0000
7651,1,1,0,5,2100.0000,2.0000
7652,21,14,7,246,832.1429,1.8571
7653,2,1,1,12,1650.0000,1.0000
7658,1,1,0,4,1800.0000,2.0000
7662,5,3,2,257,2760.0000,1.6000
7664,1,1,0,30,400.0000,4.0000
7666,1,1,0,4,350.0000,2.0000
7667,4,4,0,120,337.5000,2.2500
7668,6,4,2,22,1600.0000,1.1667
7676,1,1,0,3,1400.0000,3.0000
7680,1,1,0,8,700.0000,3.0000
7681,2,2,0,102,850.0000,2.5000
7684,4,4,0,129,762.5000,1.7500
7685,1,1,0,3,225.0000,1.0000
7686,1,1,0,4,325.0000,3.0000
7688,1,1,0,4,175.0000,5.0000
7690,8,8,0,125,487.5000,5.0000
7691,1,1,0,6,1125.0000,2.0000
7692,2,1,1,19,1012.5000,2.0000
7693,6,4,2,188,733.3333,2.1667
7699,1,1,0,5,2100.0000,3.0000
7702,1,0,1,3,600.0000,0.0000
7707,3,2,1,32,2300.0000,0.6667
7719,34,27,7,253,1138.2353,1.7941
7732,7,7,0,49,1514.2857,3.5714
7734,8,6,2,144,2250.0000,1.1250
7736,3,3,0,11,7916.6667,3.0000
7739,2,2,0,17,350.0000,3.0000
7745,1,0,1,7,2250.0000,0.0000
7747,1,1,0,4,450.0000,6.0000
7749,8,3,5,217,1478.1250,0.7500
7753,2,0,2,6,750.0000,0.5000
7757,1,0,1,3,1650.0000,0.0000
7762,1,1,0,9,1050.0000,3.0000
7763,1,1,0,3,1500.0000,3.0000
7769,2,2,0,6,1450.0000,2.5000
7770,1,1,0,24,750.0000,5.0000
7771,1,1,0,6,1750.0000,3.0000
7776,40,32,8,204,2148.7500,1.9250
7778,33,27,6,187,1208.7879,4.2424
7782,2,2,0,41,1312.5000,1.0000
7788,6,4,2,96,2550.0000,1.5000
7790,1,1,0,5,900.0000,10.0000
7795,16,13,3,164,1856.2500,1.7500
7798,4,3,1,20,2700.0000,2.0000
7803,4,2,2,32,1837.5000,0.7500
7809,1,1,0,3,450.0000,5.0000
7813,5,5,0,159,2310.0000,2.2000
7814,2,2,0,5,1500.0000,4.5000
7817,5,5,0,184,1470.0000,2.0000
7820,8,8,0,82,1415.6250,3.2500
7821,7,3,4,115,257.1429,6.1429
7827,2,0,2,17,1850.0000,0.5000
7830,10,10,0,142,797.5000,2.5000
7834,1,1,0,30,200.0000,10.0000
7835,2,2,0,37,1725.0000,4.0000
7838,6,2,4,35,875.0000,1.0000
7839,1,1,0,5,600.0000,7.0000
7844,13,7,6,164,909.2308,0.6923
7848,16,13,3,199,923.4375,1.8750
7854,15,14,1,195,1101.6667,2.2000
7856,4,4,0,84,2125.0000,3.0000
7862,4,4,0,78,1331.2500,3.0000
7869,6,6,0,93,1237.5000,3.6667
7873,2,2,0,82,1125.0000,6.0000
7877,3,3,0,37,1850.0000,3.3333
7879,1,1,0,3,750.0000,4.0000
7884,16,12,4,145,514.0625,3.0625
7888,5,4,1,56,2145.0000,2.8000
7895,4,4,0,119,856.2500,2.2500
7899,10,7,3,152,1220.0000,3.8000
7901,3,3,0,177,153.3333,3.6667
7912,1,1,0,6,2400.0000,2.0000
7923,2,2,0,63,1100.0000,3.5000
7933,3,2,1,24,1100.0000,4.3333
7940,5,2,3,36,1460.0000,1.4000
7943,1,1,0,6,1500.0000,2.0000
7944,2,2,0,30,377.5000,5.0000
7945,1,1,0,7,400.0000,2.0000
7947,1,1,0,3,750.0000,2.0000
7949,1,1,0,3,3000.0000,2.0000
7950,2,1,1,5,187.5000,3.5000
7953,3,3,0,44,1275.0000,2.0000
7956,4,3,1,31,1800.0000,1.0000
7959,1,1,0,30,200.0000,4.0000
7960,5,4,1,39,1875.0000,2.8000
7964,9,7,2,41,1598.5556,1.7778
7965,3,1,2,61,833.3333,2.0000
7966,4,3,1,54,1562.5000,3.2500
7971,92,87,5,177,565.6522,2.2500
7973,6,4,2,83,1833.3333,1.3333
7974,2,1,1,34,462.5000,1.0000
7975,3,3,0,40,1600.0000,3.0000
7982,5,5,0,171,1410.0000,2.4000
7983,1,1,0,73,100000.0000,1637.0000
7984,33,31,2,87,1085.6061,14.5758
7985,3,3,0,6,2041.6667,3.3333
7987,4,4,0,51,537.5000,3.5000
7989,27,20,7,108,813.6667,2.2963
7990,1,1,0,5,1650.0000,3.0000
7994,1,1,0,6,2400.0000,2.0000
8001,44,39,5,146,719.3182,3.3636
8004,2,2,0,38,1000.0000,3.0000
8006,7,6,1,69,1907.1429,1.2857
8011,7,4,3,136,728.7143,1.4286
8022,1,1,0,5,1650.0000,2.0000
8023,2,2,0,6,1500.0000,3.0000
8031,2,2,0,42,300.0000,6.0000
8033,1,1,0,8,3000.0000,3.0000
8034,4,4,0,90,650.0000,4.2500
8038,3,3,0,13,583.3333,3.0000
8043,34,31,3,147,1400.0294,1.5882
8044,8,5,3,100,1931.2500,1.3750
8052,1,1,0,30,450.0000,4.0000
8054,1,1,0,4,1750.0000,3.0000
8060,2,2,0,16,825.0000,4.0000
8062,9,9,0,60,600.0000,2.5556
8065,7,7,0,32,427.1429,25.8571
8067,9,9,0,106,844.4444,3.4444
8068,1,1,0,6,1250.0000,6.0000
8069,7,6,1,50,1575.0000,1.7143
8078,12,8,4,110,579.1667,1.9167
8081,3,2,1,85,883.3333,0.6667
8082,3,2,1,69,1350.0000,1.0000
8086,2,2,0,8,1500.0000,2.5000
8087,17,14,3,134,1720.5882,1.7647
8092,1,1,0,9,2700.0000,1.0000
8093,3,3,0,71,2550.0000,2.0000
8097,2,2,0,30,1400.0000,2.0000
8099,1,0,1,19,250.0000,4.0000
8101,6,6,0,64,59.1667,3.8333
8102,1,0,1,5,1800.0000,0.0000
8103,3,3,0,18,825.0000,4.0000
8111,1,1,0,30,800.0000,4.0000
8112,1,1,0,4,1200.0000,6.0000
8113,1,1,0,9,2300.0000,1.0000
8167,1,1,0,6,1500.0000,2.0000
8168,7,6,1,122,782.1429,3.7143
8173,24,18,6,63,748.0000,2.6250
8180,8,5,3,48,915.6250,3.1250
8181,8,8,0,36,981.2500,2.8750
8184,3,2,1,89,2500.0000,1.6667
8190,1,1,0,5,750.0000,1.0000
8192,1,1,0,7,350.0000,5.0000
8194,1,1,0,2,375.0000,2.0000
8195,6,5,1,44,2075.0000,2.0000
8198,8,7,1,110,1528.1250,2.2500
8204,6,5,1,71,1758.3333,1.6667
8207,2,2,0,7,1500.0000,2.0000
8214,1,1,0,30,1000.0000,4.0000
8216,1,1,0,30,1200.0000,4.0000
8219,2,2,0,20,2550.0000,1.0000
8221,3,3,0,63,450.0000,4.3333
8232,1,1,0,7,2100.0000,5.0000
8234,8,4,4,85,1725.0000,0.8750
8242,1,1,0,10,6700.0000,7.0000
8248,3,3,0,5,1100.0000,3.3333
8250,1,1,0,30,700.0000,2.0000
8256,6,5,1,58,1433.3333,2.3333
8262,2,2,0,106,300.0000,2.5000
8268,1,1,0,4,1500.0000,4.0000
8274,1,1,0,2,900.0000,1.0000
8276,3,2,1,48,2233.3333,1.3333
8277,9,6,3,93,1133.8889,3.0000
8280,1,1,0,4,1650.0000,4.0000
8284,1,1,0,0,300.0000,4.0000
8298,1,1,0,3,225.0000,1.0000
8299,1,1,0,5,2100.0000,1.0000
8304,1,1,0,7,2100.0000,5.0000
8308,1,1,0,5,1500.0000,2.0000
8309,1,1,0,4,750.0000,7.0000
8312,1,1,0,5,1500.0000,0.0000
8315,1,1,0,5,2100.0000,1.0000
8317,1,1,0,7,2100.0000,9.0000
8324,51,48,3,89,542.6471,1.5882
8327,1,1,0,8,2100.0000,5.0000
8331,1,1,0,7,2400.0000,4.0000
8334,3,2,1,28,2000.0000,2.0000
8341,4,3,1,45,2625.0000,2.0000
8343,6,5,1,50,725.0000,2.3333
8345,1,1,0,7,1800.0000,5.0000
8366,1,1,0,6,2700.0000,3.0000
8368,23,22,1,56,943.4783,1.6957
8371,1,1,0,7,2400.0000,3.0000
8372,1,1,0,7,2100.0000,4.0000
8373,1,1,0,5,2700.0000,3.0000
8384,1,1,0,30,400.0000,8.0000
8390,2,2,0,10,900.0000,4.0000
8391,4,3,1,42,1368.7500,2.0000
8399,2,2,0,5,2250.0000,2.5000
8404,1,1,0,6,1200.0000,4.0000
8408,1,1,0,6,2100.0000,3.0000
8409,2,2,0,11,2700.0000,1.0000
8437,4,1,3,41,1950.0000,1.2500
8456,5,5,0,38,970.0000,3.2000
8458,1,1,0,4,1800.0000,10.0000
8461,5,5,0,67,1010.0000,5.2000
8463,7,7,0,57,778.5714,5.7143
8464,2,2,0,10,1100.0000,7.0000
8477,1,1,0,3,225.0000,2.0000
8480,1,1,0,30,200.0000,3.0000
8484,2,1,1,8,2700.0000,1.0000
8494,1,1,0,4,600.0000,3.0000
8495,3,3,0,31,91.6667,3.6667
8500,2,2,0,5,625.0000,3.0000
8501,1,0,1,14,600.0000,0.0000
8506,1,1,0,6,1750.0000,4.0000
8508,1,1,0,5,5000.0000,8.0000
8509,2,2,0,32,275.0000,6.0000
8510,1,1,0,8,1250.0000,2.0000
8514,13,13,0,58,328.8462,1.8462
8515,47,45,2,63,95.9574,1.5106
8517,20,19,1,45,288.5000,1.8000
8518,10,10,0,46,1135.5000,1.9000
8519,7,5,2,50,789.2857,1.2857
8521,2,2,0,52,900.0000,1.5000
8529,1,1,0,30,100.0000,1.0000
8554,3,3,0,37,750.0000,5.0000
8582,1,1,0,4,750.0000,3.0000
